d_spr_w_csr_name;d_spr_w_csr_code;2018;2019;2020;
" ""Развитие транспортной системы""";100000000;542372923,4;569954987,3;576366227,3;
" ""Создание единого парковочного пространства""";130000000;7451063,8;6756600,1;6873317,6;
" ""Общественный транспорт «Метрополитен»""";01А0000000;220835725,8;241609175,4;248460011,2;
" ""Общественный транспорт «Наземный городской пассажирский транспорт»""";01Б0000000;40132335,7;45333866,8;43841119,6;
" ""Общественный транспорт «Железнодорожный транспорт»""";01В0000000;13271657,4;14101191;14328848,2;
" ""Общественный транспорт «Внутренний водный транспорт»""";01Г0000000;504440,8;1034819,1;638419,6;
" ""Автомобильные дороги и улично-дорожная сеть""";01Д0000000;238948865,5;241885594,2;243029701,1;
" ""Автовокзалы и транспортно-пересадочные узлы""";01Ж0000000;648673,3;1016503,3;640063,3;
" ""Организация движения транспорта в городе Москве. Создание интеллектуальной транспортной системы""";01И0000000;20335161,1;17964167;18309746,7;
" ""Развитие новых видов транспорта""";01К0000000;245000;253070,4;245000;
" ""Развитие здравоохранения города Москвы (Столичное здравоохранение)""";200000000;250686139,8;229565302,2;233615442,1;
" ""Охрана окружающей среды и улучшение экологической ситуации в городе Москве в целях укрепления здоровья населения""";230000000;10738552,2;6911463,1;7663553,3;
" ""Профилактика заболеваний и формирование здорового образа жизни. Совершенствование первичной медико-санитарной помощи""";02А0000000;48791862;48941953;50225953,8;
" ""Формирование эффективной системы организации медицинской помощи. Совершенствование системы территориального планирования""";02Б0000000;96454286,4;98236322,4;99714071,3;
" ""Совершенствование оказания специализированной, включая высокотехнологичную, медицинской помощи, скорой, в том числе скорой специализированной, медицинской помощи, а также паллиативной помощи""";02В0000000;80892038,1;61629457,7;64331318,8;
" ""Охрана здоровья матери и ребенка""";02Г0000000;7259036,3;7254595,2;5046359,5;
" ""Развитие медицинской реабилитации и санаторно-курортного лечения""";02Д0000000;2630676,6;2647969,6;2666556,8;
" ""Кадровое обеспечение государственной системы здравоохранения города Москвы""";02Е0000000;3355750,6;3378160,9;3402248,3;
" ""Профилактика зоонозных инфекций, эпизоотическое и ветеринарно-санитарное благополучие в городе Москве""";02И0000000;563937,6;565380,3;565380,3;
" ""Развитие образования города Москвы («Столичное образование»)""";300000000;293920472,8;303974194,5;311109016;
" ""Общее образование""";03А0000000;232483854,6;239535391,2;243370915,2;
" ""Профессиональное образование""";03Б0000000;18505749,3;18475925,4;19995129,4;
